eventname,outcome,type,compiledgametime,video_frame,playsection,zone,manpowersituation,goal,so_goal,teamid,playerid,opposingteamgoalieoniceid,xadjcoord,yadjcoord
shot,failed,slot,849.1667,61776,westOuterSlot,oz,powerPlay,0,0,1212,711711,9993984,74.2382202148437,-11.8136100769043
controlledentryagainst,failed,1on2,874.56665,62538,eastPointDZ,dz,shortHanded,0,0,32522,10386376,320320,-37.5226593017578,-10.8117637634277
controlledentryagainst,successful,2on1,882.06665,62763,southEastBoardsNZ,nz,powerPlay,0,0,1212,309309,9993984,-31.8823623657227,12.830509185791
shot,failed,slot,883.7,62812,westOuterSlot,oz,shortHanded,0,0,32522,1111110,320320,59.042049407959,-16.8470573425293
faceoff,successful,recovered,887.1667,64243,westOuterSlot,oz,evenStrength,0,0,32522,1590589,320320,68.0949859619141,-22.3794097900391
faceoff,failed,none,887.1667,64243,westOuterSlotDZ,dz,evenStrength,0,0,1212,1394393,9993984,-68.0949859619141,22.3794097900391
controlledentryagainst,failed,3on3,913.76666,65041,southEastBoardsNZ,nz,shortHanded,0,0,1212,670670,9993984,-40.9361686706543,26.4029388427734
controlledentryagainst,failed,3on3,941.73334,65880,westPointDZ,dz,shortHanded,0,0,1212,466466,9993984,-42.9479331970215,26.4029388427734
controlledentryagainst,failed,3on3,963.06665,66520,eastPointDZ,dz,shortHanded,0,0,1212,309309,9993984,-36.9126396179199,-15.8441181182861
shot,failed,outsideblocked,975.1,66881,centerPoint,oz,powerPlay,0,0,32522,15134119,320320,49.4853057861328,-7.29815292358398
shot,successful,outside,981.76666,67081,outsideNorthEast,oz,powerPlay,0,0,32522,1111110,320320,75.6382446289063,21.8724346160889
shot,successful,outside,999.56665,67615,outsideNorthEast,oz,powerPlay,0,0,32522,15134119,320320,71.1117706298828,25.8959636688232
faceoff,successful,recoveredwithexit,1001.7,68455,outsideNorthEastDZ,dz,shortHanded,0,0,1212,711711,9993984,-68.5979309082031,-23.3882350921631
faceoff,failed,none,1001.7,68455,outsideNorthEast,oz,powerPlay,0,0,32522,10224214,320320,68.5979309082031,23.3882350921631
controlledentryagainst,successful,3on3,1020.1667,69009,westPointDZ,dz,evenStrength,0,0,1212,9100091,9993984,-40.4332275390625,13.3264694213867
shot,failed,outsideblocked,1026,69184,centerPoint,oz,evenStrength,0,0,32522,465465,320320,48.4802856445313,1.25882339477539
controlledentryagainst,successful,2on3,1032.1666,69369,eastPointDZ,dz,evenStrength,0,0,32522,10386376,320320,-32.9961853027344,-17.3499984741211
controlledentryagainst,successful,2on2,1059.4333,70187,northEastBoardsNZ,nz,evenStrength,0,0,32522,10176166,320320,-35.5108947753906,29.4235305786133
shot,failed,outsideblocked,1061.8334,70259,centerPoint,oz,evenStrength,0,0,1212,10365355,9993984,47.5823364257812,18.8658027648926
faceoff,successful,recoveredwithexit,1064.6,74261,eastOuterSlotDZ,dz,evenStrength,0,0,32522,1346345,320320,-68.7050018310547,-22.3794097900391
faceoff,failed,none,1064.6,74261,eastOuterSlot,oz,evenStrength,0,0,1212,21696675,9993984,68.7050018310547,22.3794097900391
controlledentryagainst,successful,3on3,1090.5,75038,northCenterNZ,nz,evenStrength,0,0,32522,170170,320320,-35.5108947753906,-1.25588226318359
shot,failed,outsideblocked,1092.0667,75085,eastPoint,oz,evenStrength,0,0,1212,8952944,9993984,53.1147003173828,36.4687423706055
controlledentryagainst,successful,1on2,1099.8334,75318,centerPointDZ,dz,evenStrength,0,0,1212,466466,9993984,-36.4096984863281,16.3441162109375
shot,failed,outside,1101,75353,centerPoint,oz,evenStrength,0,0,32522,8422414,320320,49.4861679077148,-3.77058792114258
faceoff,failed,none,1104.7,76425,westOuterSlot,oz,evenStrength,0,0,32522,1111110,320320,69.1008758544922,-21.8764724731445
faceoff,successful,recovered,1104.7,76425,westOuterSlotDZ,dz,evenStrength,0,0,1212,109109,9993984,-69.1008758544922,21.8764724731445
controlledentryagainst,successful,1on2,1113.2333,76681,centerPointDZ,dz,evenStrength,0,0,1212,309309,9993984,-36.4096984863281,-13.8323535919189
faceoff,successful,recovered,1116.5333,77622,westOuterSlot,oz,evenStrength,0,0,32522,15134119,320320,68.5979309082031,-21.8764724731445
faceoff,failed,none,1116.5333,77622,westOuterSlotDZ,dz,evenStrength,0,0,1212,10365355,9993984,-68.5979309082031,21.8764724731445
controlledentryagainst,successful,3on3,1122.9,77813,westPointDZ,dz,evenStrength,0,0,32522,465465,320320,-38.5285339355469,27.4117641448975
controlledentryagainst,failed,1on2,1153.1666,78721,southWestBoardsNZ,dz,evenStrength,0,0,32522,10386376,320320,-36.0138397216797,-19.8647079467773
shot,successful,outside,1155.2333,78783,outsideNorthEast,oz,evenStrength,0,0,1212,12789777,9993984,80.7756042480469,15.8411750793457
shot,successful,slot,1155.8667,78802,innerSlot,oz,evenStrength,0,0,1212,12789777,9993984,87.3138275146484,5.27941131591797
faceoff,successful,recoveredwithexit,1158.5667,79960,eastOuterSlotDZ,dz,evenStrength,0,0,32522,1346345,320320,-69.2079467773438,-22.3794097900391
faceoff,failed,none,1158.5667,79960,eastOuterSlot,oz,evenStrength,0,0,1212,21696675,9993984,69.2079467773438,22.3794097900391
shot,successful,outside,1170.5333,80319,westPoint,oz,evenStrength,0,0,32522,170170,320320,33.3920516967773,-38.4735260009766
controlledentryagainst,successful,2on3,1178.9,80570,eastPointDZ,dz,evenStrength,0,0,32522,10176166,320320,-34.5050048828125,-15.8411750793457
controlledentryagainst,successful,1on2,1188,80843,southCenterNZ,nz,evenStrength,0,0,1212,9100091,9993984,-32.3861694335937,-25.3999996185303
shot,failed,slotblocked,1196.8667,81109,westOuterSlot,oz,evenStrength,0,0,1212,12789777,9993984,57.6403045654297,-1.25882339477539
faceoff,failed,none,1200,27896,northCenterNZ,nz,evenStrength,0,0,1212,12789777,9993984,0.197929382324219,-0.25
faceoff,successful,recovered,1200,27896,southCenterNZ,nz,evenStrength,0,0,32522,1111110,320320,-0.197929382324219,0.25
faceoff,failed,none,1206.4,28772,northCenterNZ,nz,evenStrength,0,0,32522,1111110,320320,20.9255981445312,-21.8794116973877
faceoff,successful,recoveredwithentry,1206.4,28772,southCenterNZ,nz,evenStrength,0,0,1212,12789777,9993984,-20.9255981445312,21.8794116973877
shot,successful,outside,1210.9333,28908,northCenterNZ,nz,evenStrength,0,0,1212,12789777,9993984,7.23824310302734,-20.374626159668
controlledentryagainst,successful,3on2,1257.5667,30307,eastPointDZ,dz,evenStrength,0,0,1212,9100091,9993984,-32.4932403564453,-28.4147033691406
shot,successful,slot,1263.9,30497,eastOuterSlot,oz,evenStrength,0,0,32522,13866853,320320,56.6344146728516,9.30294036865234
faceoff,failed,none,1291.3334,32036,westOuterSlot,oz,evenStrength,0,0,32522,1590589,320320,69.2079467773438,-21.3764705657959
faceoff,successful,recovered,1291.3334,32036,westOuterSlotDZ,dz,evenStrength,0,0,1212,109109,9993984,-69.2079467773438,21.3764705657959
controlledentryagainst,successful,2on3,1303.9667,32415,southEastBoardsNZ,dz,evenStrength,0,0,32522,36036,320320,-35.905891418457,26.9128570556641
controlledentryagainst,failed,2on3,1314.4333,32729,eastPointDZ,dz,evenStrength,0,0,1212,9100091,9993984,-35.5108947753906,-21.3735275268555
shot,successful,slot,1316.6333,32795,innerSlot,oz,evenStrength,0,0,32522,15134119,320320,82.2852783203125,9.81285858154297
shot,failed,outsideblocked,1324,33016,centerPoint,oz,evenStrength,0,0,32522,36036,320320,39.534423828125,-11.3176460266113
controlledentryagainst,failed,2on2,1334.4333,33329,eastPointDZ,dz,evenStrength,0,0,32522,10386376,320320,-26.3508758544922,-22.8852939605713
shot,failed,slot,1338.1333,33440,westOuterSlot,oz,evenStrength,0,0,1212,21696675,9993984,67.088249206543,-14.3393325805664
controlledentryagainst,failed,1on0,1353.2,33892,centerPointDZ,dz,evenStrength,0,0,1212,320320,9993984,-87.314697265625,-0.256977081298828
shot,successful,slot,1354.8667,33942,eastOuterSlot,oz,evenStrength,0,0,32522,611611,320320,65.6873626708984,12.8235282897949
controlledentryagainst,failed,1on2,1362.0333,34157,westPointDZ,dz,evenStrength,0,0,32522,10176166,320320,-34.3979339599609,31.9352951049805
faceoff,successful,recoveredwithentry,1389.2,35870,northWestBoardsNZ,nz,evenStrength,0,0,32522,1111110,320320,20.9255981445312,-22.8852939605713
faceoff,failed,none,1389.2,35870,southEastBoardsNZ,nz,evenStrength,0,0,1212,12789777,9993984,-20.9255981445312,22.8852939605713
controlledentryagainst,successful,3on3,1400.0333,36195,southEastBoardsNZ,dz,evenStrength,0,0,32522,13866853,320320,-33.8949890136719,21.3735275268555
shot,failed,outside,1402.3334,36264,outsideNorthWest,oz,evenStrength,0,0,1212,711711,9993984,63.0655784606934,-36.9647064208984
shot,failed,slot,1421.9667,36853,westOuterSlot,oz,evenStrength,0,0,1212,670670,9993984,72.118522644043,-20.3676452636719
controlledentryagainst,successful,3on3,1430.6333,37113,southWestBoardsNZ,dz,evenStrength,0,0,32522,170170,320320,-41.9420509338379,-9.80882263183594
shot,failed,slotblocked,1432.3667,37165,eastOuterSlot,oz,evenStrength,0,0,1212,8392384,9993984,62.0596961975098,22.8852939605713
shot,successful,slot,1462.7333,38076,innerSlot,oz,evenStrength,0,0,32522,541541,320320,81.2794036865234,3.77756500244141
faceoff,successful,recoveredwithshotonnetandslotshot,1465.8334,39450,westOuterSlot,oz,powerPlay,0,0,32522,1590589,320320,69.2079467773438,-21.8794116973877
faceoff,failed,none,1465.8334,39450,westOuterSlotDZ,dz,shortHanded,0,0,1212,711711,9993984,-69.2079467773438,21.8794116973877
shot,successful,outside,1472.8334,39660,centerPoint,oz,powerPlay,0,0,32522,465465,320320,42.5529327392578,13.3334503173828
shot,successful,slot,1474.6,39713,innerSlot,oz,powerPlay,0,0,32522,36036,320320,79.2676391601563,1.26285934448242
controlledentryagainst,failed,1on1,1481.4333,39918,southCenterNZ,dz,powerPlay,0,0,32522,465465,320320,-35.905891418457,-8.29302215576172
shot,successful,outside,1482.2667,39943,eastPoint,oz,shortHanded,0,0,1212,319319,9993984,48.4802856445313,21.3764705657959
faceoff,successful,recovered,1486.0333,40835,eastOuterSlotDZ,dz,powerPlay,0,0,32522,1590589,320320,-68.5979309082031,-21.3764705657959
faceoff,failed,none,1486.0333,40835,eastOuterSlot,oz,shortHanded,0,0,1212,1409408,9993984,68.5979309082031,21.3764705657959
controlledentryagainst,failed,3on3,1509.7333,41546,southCenterNZ,nz,shortHanded,0,0,1212,786786,9993984,-28.9735260009766,8.79596328735352
shot,successful,slot,1516.7,41755,westOuterSlot,oz,powerPlay,0,0,32522,541541,320320,58.6461791992187,-15.3411769866943
controlledentryagainst,successful,3on3,1528.6333,42113,westPointDZ,dz,shortHanded,0,0,1212,309309,9993984,-48.0852813720703,5.27537536621094
controlledentryagainst,successful,1on2,1536.0333,42335,westPointDZ,dz,shortHanded,0,0,1212,9100091,9993984,-47.5823364257812,11.8136100769043
controlledentryagainst,successful,3on3,1556.5667,42951,centerPointDZ,dz,shortHanded,0,0,1212,9100091,9993984,-54.1205749511719,0.245964050292969
shot,successful,outside,1564.5,43189,westPoint,oz,powerPlay,0,0,32522,611611,320320,48.5873565673828,-29.4235305786133
shot,failed,outside,1576.7667,43557,centerPoint,oz,powerPlay,0,0,32522,13866853,320320,37.5226593017578,-1.25882339477539
shot,failed,slotblocked,1588.1666,43899,westOuterSlot,oz,evenStrength,0,0,32522,1346345,320320,73.2314758300781,-10.3117637634277
shot,successful,outside,1598.4333,44207,outsideNorthEast,oz,evenStrength,0,0,32522,15134119,320320,82.7873687744141,10.3088226318359
faceoff,successful,recoveredwithshotonnet,1600.1333,48260,westOuterSlot,oz,powerPlay,0,0,32522,1590589,320320,69.2079467773438,-22.8852939605713
faceoff,failed,none,1600.1333,48260,westOuterSlotDZ,dz,shortHanded,0,0,1212,711711,9993984,-69.2079467773438,22.8852939605713
shot,successful,outside,1607.6666,48486,outsideNorthWest,oz,powerPlay,0,0,32522,2104102,320320,63.1726531982422,-27.9147052764893
controlledentryagainst,failed,2on2,1650.0333,49757,westPointDZ,dz,shortHanded,0,0,1212,1409408,9993984,-42.0491333007813,30.93235206604
faceoff,failed,none,1669.6666,51936,eastOuterSlotDZ,dz,shortHanded,0,0,1212,711711,9993984,-69.7108917236328,-21.8764724731445
faceoff,successful,recovered,1669.6666,51936,eastOuterSlot,oz,powerPlay,0,0,32522,1346345,320320,69.7108917236328,21.8764724731445
shot,failed,outsideblocked,1671.6,51994,centerPoint,oz,powerPlay,0,0,32522,611611,320320,49.5941009521484,-6.78419876098633
shot,successful,slot,1688.5,52501,innerSlot,oz,powerPlay,0,0,32522,1111110,320320,84.7991333007812,-1.25882339477539
shot,successful,outside,1694.5,52681,outsideNorthWest,oz,powerPlay,0,0,32522,611611,320320,57.1373596191406,-28.4176464080811
shot,failed,slot,1700.1333,52850,westOuterSlot,oz,powerPlay,0,0,32522,13866853,320320,55.1255950927734,-7.29411697387695
controlledentryagainst,failed,2on2,1729.8,53740,centerPointDZ,dz,evenStrength,0,0,32522,1346345,320320,-31.3802871704102,4.27352905273438
shot,failed,outsideblocked,1732.0333,53807,outsideNorthWest,oz,evenStrength,0,0,1212,9100091,9993984,76.1411895751953,-21.8834457397461
controlledentryagainst,successful,2on3,1750.0333,54347,westPointDZ,dz,evenStrength,0,0,32522,10176166,320320,-45.9655799865723,20.8705902099609
faceoff,successful,recovered,1758.2,55445,eastOuterSlotDZ,dz,evenStrength,0,0,32522,10224214,320320,-68.5979309082031,-21.3764705657959
faceoff,failed,none,1758.2,55445,eastOuterSlot,oz,evenStrength,0,0,1212,109109,9993984,68.5979309082031,21.3764705657959
controlledentryagainst,failed,3on3,1768.6666,55759,eastPointDZ,dz,evenStrength,0,0,32522,170170,320320,-41.9420509338379,-27.4117641448975
shot,failed,outsideblocked,1776.5333,55995,outsideNorthWest,oz,evenStrength,0,0,1212,1349348,9993984,74.6332244873047,-26.4029388427734
faceoff,failed,none,1778.4667,57359,westOuterSlot,oz,evenStrength,0,0,1212,21696675,9993984,69.1008758544922,-22.8823547363281
faceoff,successful,recoveredwithexit,1778.4667,57359,westOuterSlotDZ,dz,evenStrength,0,0,32522,1346345,320320,-69.1008758544922,22.8823547363281
controlledentryagainst,successful,2on2,1804.7667,58148,eastPointDZ,dz,evenStrength,0,0,1212,1349348,9993984,-36.0138397216797,-17.3499984741211
controlledentryagainst,successful,2on3,1812.1666,58370,centerPointDZ,dz,evenStrength,0,0,32522,465465,320320,-40.4323654174805,-3.76655197143555
faceoff,failed,none,1820.0667,59391,eastOuterSlotDZ,dz,evenStrength,0,0,32522,1590589,320320,-68.5979309082031,-22.3823528289795
faceoff,successful,recovered,1820.0667,59391,eastOuterSlot,oz,evenStrength,0,0,1212,109109,9993984,68.5979309082031,22.3823528289795
shot,failed,outside,1833.4,59791,westPoint,oz,evenStrength,0,0,1212,8001994,9993984,30.8773422241211,-29.4205856323242
shot,failed,outsideblocked,1840.2667,59997,outsideNorthEast,oz,evenStrength,0,0,1212,8392384,9993984,74.6332244873047,23.8911762237549
